sender,subject,body
hurst@missouri.co.jp,^^^^^Cell Phone Belt Clips $1.95^^^^^^                           18070,"Cellular Phone Accessories All At Below Wholesale Prices! http://202.101.163.34:81/sites/merchant/sales/ Hands Free Ear Buds 1.99! Phone Holsters 1.98! Booster Antennas Only $0.99
Phone Cases 1.98! Car Chargers 1.98! Face Plates As Low As 0.99! Lithium Ion Batteries As Low As 6.94! http://202.101.163.34:81/sites/merchant/sales/ Click Below For Accessories On All NOKIA, MOTOROLA LG, NEXTEL, SAMSUNG, QUALCOMM, ERICSSON, AUDIOVOX PHONES At Below WHOLESALE PRICES! http://202.101.163.34:81/sites/merchant/sales/ ***If You Need Assistance Please Call Us (732) 751-1457*** ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
To be removed from future mailings please send your remove request to: removemenow68994@btamail.net.cn Thank You and have a super day :) "
"""Young Sluts"" <simplyamateur@free4pornlovers.com>",wives and girlfriends cheating and whoring around , http://free4pornlovers.com/simply-amateur/ http://free4pornlovers.com/simply-amateur/ 
"""FreeLegal Advice"" <aileen@email2.qves.net>",Get the Child Support You Deserve                            11.180,"1) Fight The Risk of Cancer!
http://www.adclick.ws/p.cfm?o=315&s=pk007 2) Slim Down - Guaranteed to lose 10-12 lbs in 30 days
http://www.adclick.ws/p.cfm?o=249&s=pk007 3) Get the Child Support You Deserve - Free Legal Advice
http://www.adclick.ws/p.cfm?o=245&s=pk002 4) Join the Web's Fastest Growing Singles Community
http://www.adclick.ws/p.cfm?o=259&s=pk007 5) Start Your Private Photo Album Online!
http://www.adclick.ws/p.cfm?o=283&s=pk007 Have a Wonderful Day,
Offer Manager
PrizeMama If you wish to leave this list please use the link below.
http://www.qves.com/trim/?zzzz@spamassassin.taint.org%7C17%7C308417 "
Great Offers <greatoffers@sendgreatoffers.com>,FREE Cell Phone + $50 Cash Back!," *Free phone offer subject to VoiceStream Wireless credit approval. Must activate a new line of service to receive a free phone. A one-time activation fee of $25 applies to all new activations. Coverage not available in all areas. Offer fulfilled by SimplyWireless.com, a VoiceStream authorized dealer. See site for additional offer details. **$50 mail-in rebate is available for new VoiceStream service plans $29.99 and greater. Rebate ends
8/31/02. You are receiving this mailing because you are a
member of SendGreatOffers.com and subscribed as:JM@NETNOTEINC.COM
To unsubscribe http://admanmail.com/subscription.asp?em=JM@NETNOTEINC.COM&l=SGO (http://admanmail.com/subscription.asp?em=JM@NETNOTEINC.COM&l=SGO)
or reply to this email with REMOVE in the subject line - you must
also include the body of this message to be unsubscribed. Any correspondence about
the products/services should be directed to
the company in the ad.
%EM%JM@NETNOTEINC.COM%/EM% "
"""E-Business Update"" <weseloh@bibsam.kb.se>",Conference calls/best quality/$.18 per minute!," No setup fees No contracts or monthly fees Call anytime, from anywhere, to anywhere Connects up to 100 Participants Simplicity in set up and administration Operator Help available 24/7 Required Input Field* Name* Web Address Company Name* State* Business Phone* Home Phone Email Address* Type of Business To be removed from our distribution lists, please Click here "
des34newsa@hotmail.com,Plans for cable," Want to watch Sporting Events?--Movies?--Pay-Per-View?? You can assemble from electronic store parts for about $12.00.
We Send You:
E-Z To follow Assembly Instructions
E-Z To read Original Drawings.
Electronic parts lists.
PLUS SOMETHING NEW YOU MUST HAVE! Something you can't do without. THE UP-TO-DATE REPORT: USING A DESCRAMBLER LEGALLY Warning: You should not build a TV Descrambler without reading this report first. Frequently Asked Questions--CABLE TV DESCRAMBLER Q: Will the descrambler work on Fiber, TCI, Jarrod A: The answer is YES. Q: Do I need a converter box?
A: This plan works with or without a converter box.
Specific instructions are included in the plans for each! Q: Can the cable company detect that I have the descrambler?
A: No, the signal descrambles right at the box and does
not move back through the line! Q: Do I have to alter my existing cable system, television or VCR?
A: The answer is no! Q: Does this work with my remote control?
A: The answer is yes. The descrambler is manually controlled--but very easy to use! Q: Can you email me the plans?
A: No the program comes with an easy to follow picture guide. Q: Does this work everywhere across the country?
A: Yes, every where in the USA plus England,
Brazil, Canada and other countries! Q: Is this deal guaranteed?
A: Yes, if you are unhappy for any reason we will refund your money. ORDER INFORMATION ACT WITHIN THE NEXT 7 DAYS AND RECEIVE TWO FREE BONUS!!
THE CABLE MANUAL! This manual contains hard to find information your
cable company does not want you to know. Also receive The RADAR
JAMMER PLANS! Never get another speeding ticket. Build you own
radar jammer, this unit will jam police radar so they can't get a reading on your vechicle. Radar jammers are legal in 48 states. It is simple to build. The FREE BONUSES ALONE ARE WORTH ACTING NOW! THE CABLE DESCRAMBLER KIT COMES WITH A THIRTY DAY
MONEY BACK GUARANTEE! IF YOUR NOT COMPLETELY SATISFIED,
SEND THE CABLE DESCRAMBLER KIT BACK AND YOU KEEP
THE BONUSES FOR FREE. YOU HAVE NOTHING TO LOSE!! REGULAR PRICE $19.95 ACT WITHIN THE NEXT 7 DAYS
AND RECEIVE FOR $12.95 ACT NOW!! SIMPLY SEND $12.95 THAT'S RIGHT ONLY $12.95 BUT YOU MUST ACT WITHIN 7 DAYS FOR THIS SPECIAL PRICE!!! SEND $12.95 CHECK OR MONEY ORDER. TO: GPG SOFTWARE
12105 WEST CENTER RD #382
OMAHA, NE 68144 THIS INFORMATION IS SOLD FOR EDUCATIONAL PURPOSES ONLY If you would like to be removed richeyg40@yahoo.com "
jjj@mymail.dk,HELP WANTED.  WORK FROM HOME REPS.,"Help wanted. We are a 14 year old fortune 500 company, that is
growing at a tremendous rate. We are looking for individuals who
want to work from home. This is an opportunity to make an excellent income. No experience
is required. We will train you. So if you are looking to be employed from home with a career that has
vast opportunities, then go: http://www.basetel.com/wealthnow We are looking for energetic and self motivated people. If that is you
than click on the link and fill out the form, and one of our
employement specialist will contact you. To be removed from our link simple go to: http://www.basetel.com/remove.html 1349lmrd5-948HyhJ3622xXiM0-290VZdq6044fFvN0-799hUsU07l50 "
"""MRS. M SESE SEKO"" <seko_mam@spinfinder.com>",A CRY FOR HELP,"DEAR FRIEND,I AM MRS. SESE-SEKO WIDOW OF LATE PRESIDENT MOBUTU
SESE-SEKO OF ZAIRE? NOW KNOWN AS DEMOCRATIC REPUBLIC
OF CONGO (DRC). I AM MOVED TO WRITE YOU THIS LETTER,
THIS WAS IN CONFIDENCE CONSIDERING MY PRESENTCIRCUMSTANCE AND SITUATION.
I ESCAPED ALONG WITH MY HUSBAND AND TWO OF OUR SONS
GEORGE KONGOLO AND BASHER OUT OF DEMOCRATIC REPUBLIC OF
CONGO (DRC) TO ABIDJAN, COTE D'IVOIRE WHERE MY FAMILY
AND I SETTLED, WHILE WE LATER MOVED TO SETTLED IN
MORROCO WHERE MY HUSBAND LATER DIED OF CANCER
DISEASE. HOWEVER DUE TO THIS SITUATION WE DECIDED TO
CHANGED MOST OF MY HUSBAND'S BILLIONS OF DOLLARS
DEPOSITED IN SWISS BANK AND OTHER COUNTRIES INTO OTHER
FORMS OF MONEY CODED FOR SAFE PURPOSE BECAUSE THE NEW
HEAD OF STATE OF (DR) MR LAURENT KABILA HAS MADE
ARRANGEMENT WITH THE SWISS GOVERNMENT AND OTHER
EUROPEAN COUNTRIES TO FREEZE ALL MY LATE HUSBAND'S
TREASURES DEPOSITED IN SOME EUROPEAN COUNTRIES. HENCE
MY CHILDREN AND I DECIDED LAYING LOW IN AFRICA TO
STUDY THE SITUATION TILL WHEN THINGS GETS BETTER,
LIKE NOW THAT PRESIDENT KABILA IS DEAD AND THE SON
TAKING OVER (JOSEPH KABILA). ONE OF MY LATE HUSBAND'S
CHATEAUX IN SOUTHERN FRANCE WAS CONFISCATED BY THE
FRENCH GOVERNMENT, AND AS SUCH I HAD TO CHANGE MY
IDENTITY SO THAT MY INVESTMENT WILL NOT BE TRACED AND
CONFISCATED. I HAVE DEPOSITED THE SUM EIGHTEEN MILLION
UNITED STATE DOLLARS(US$18,000,000,00.) WITH A
SECURITY COMPANY , FOR SAFEKEEPING. THE FUNDS ARE
SECURITY CODED TO PREVENT THEM FROM
KNOWING THE CONTENT. WHAT I WANT YOU TO DO IS TO
INDICATE YOUR INTEREST THAT YOU WILL ASSIST US BY RECEIVING THE MONEY ON OUR
BEHALF.ACKNOWLEDGE THIS MESSAGE, SO THAT I CAN INTRODUCE YOU TO MY SON
(KONGOLO) WHO HAS THE OUT MODALITIES FOR THE CLAIM OF THE SAID FUNDS. I
WANT YOU TO ASSIST IN INVESTING THIS MONEY, BUT I WILL NOT WANT MY IDENTITY
REVEALED. I WILL ALSO WANT TO BUY PROPERTIES AND STOCK IN MULTI-NATIONAL
COMPANIES AND TO ENGAGE IN OTHER SAFE AND
NON-SPECULATIVE INVESTMENTS. MAY I AT THIS POINT
EMPHASISE THE HIGH LEVEL OF CONFIDENTIALITY, WHICH
THIS BUSINESS DEMANDS, AND HOPE YOU WILL NOT BETRAY
THE TRUST AND CONFIDENCE, WHICH I REPOSE IN YOU. IN
CONCLUSION, IF YOU WANT TO ASSIST US , MY SON SHALL
PUT YOU IN THE PICTURE OF THE BUSINESS, TELL YOU
WHERE THE FUNDS ARE CURRENTLY BEING MAINTAINED AND
ALSO DISCUSS OTHER MODALITIES INCLUDING REMUNERATIONFOR YOUR SERVICES.
FOR THIS REASON KINDLY FURNISH US YOUR CONTACT
INFORMATION, THAT IS YOUR PERSONAL TELEPHONE AND FAX
NUMBER FOR CONFIDENTIAL PURPOSE.BEST REGARDS,MRS M. SESE SEKO "
safety33o@l11.newnamedns.com,ADV: Lowest life insurance rates available!                                                   moode,"Lowest rates available for term life insurance! Take a moment and fill out our online form to see the low rate you qualify for. Save up to 70% from regular rates! Smokers accepted! http://www.newnamedns.com/termlife/ Representing quality nationwide carriers. Act now! ---------------------------------------
To easily remove your address from the list, go to: http://www.newnamedns.com/stopthemailplease/
Please allow 48-72 hours for removal. "
"""FreeLegal Advice"" <jaen@s3.serveimage.com>",[ILUG] Get the Child Support You Deserve                     10.132,"1) Fight The Risk of Cancer!
http://www.adclick.ws/p.cfm?o=315&s=pk007 2) Slim Down - Guaranteed to lose 10-12 lbs in 30 days
http://www.adclick.ws/p.cfm?o=249&s=pk007 3) Get the Child Support You Deserve - Free Legal Advice
http://www.adclick.ws/p.cfm?o=245&s=pk002 4) Join the Web's Fastest Growing Singles Community
http://www.adclick.ws/p.cfm?o=259&s=pk007 5) Start Your Private Photo Album Online!
http://www.adclick.ws/p.cfm?o=283&s=pk007 Have a Wonderful Day,
Offer Manager
PrizeMama If you wish to leave this list please use the link below.
http://www.qves.com/trim/?ilug@linux.ie%7C17%7C114258 -- Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie "
"""MR.Johnson S. Abu"" <coll2001ng@mail.com>",[ILUG] BUSINESS,"CENTRAL BANK OF NIGERIA
FOREIGN REMITTANCE DEPT.
TINUBU SQUARE, LAGOS NIGERIA
EMAIL-smith_j@mailsurf.com
23TH OF August 2002 ATTN:PRESIDENT/CEO STRICTLY PRIVATE BUSINESS PROPOSAL
I am MR.Johnson S. Abu, the bills and exchange Director at the
ForeignRemittance Department of the Central Bank of Nigeria. I am writingyou
this letter to ask for your support and cooperation to carrying thisbusiness
opportunity in my department. We discovered abandoned the sumof
US$37,400,000.00 (Thirty seven million four hundred thousand unitedstates
dollars) in an account that belong to one of our foreign customers,an
American
late Engr. John Creek (Junior) an oil merchant with the federal government
of
Nigeria who died along with his entire family of a wifeand two children in
Kenya Airbus (A310-300) flight KQ430 in November2000. Since we heard of his death, we have been expecting his next of kin tocome
over
and put claims for his money as the heir, because we cannotrelease the fund
from his account unless someone applies for claims asthe next of kin to the
deceased as indicated in our banking guidelines. Unfortunately, neither
their
family member nor distant relative hasappeared to claim the said fund. Upon
this discovery, I and other officialsin my department have agreed to make
business with you release the totalamount into your account as the heir of
the
fund since no one came forit or discovered either maintained account with
our
bank, other wisethe fund will be returned to the bank treasury as unclaimed
fund. We have agreed that our ratio of sharing will be as stated thus: 30%for
you as
foreign partner and 70% for us the officials in my department. Upon the successful completion of this transfer, my colleague and I
willcome to
your country and mind our share. It is from our 60% we intendto import
computer
accessories into my country as way of recycling thefund. To commence this
transaction we require you to immediately indicateyour interest by calling
me
or sending me a fax immediately on the aboveTelefax # and enclose your
private
contact Telephone #, Fax #, full nameand address and your designated
banking co- ordinates to enable us fileletter of claim to the appropriate department
for
necessary approvalsbefore the transfer can be made. Note also, this transaction must be kept strictly confidential becauseof its
nature. NB: Please remember to give me your Phone and Fax No MR.Johnson Smith Abu -- Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie "
"""Dr Bello Ahmed"" <bell1hmed@yahoo.ca>",Relationship,"URGENT PRIVATE & EXTREMELY CONFIDENTIAL Dear , With profound interest and in utmost confidence, I am
soliciting your immediate assistance or co-operation
as to enable us round up an opportunity within my
capability as a result of the death of one of our
contractor (Beneficiary). You should not be surprised
as to how I got your contact, you were highly
recommended to me with the believe that you are
competent, reliable, Trustworthy and confident. I am Dr. Bello Ahmed, Chief Auditor, Special Project
and Foreign Contract Regularization and Disbursement,
in the Office of the Auditor General of the Federation
of Federal Republic of Nigeria. We work in hand with
the Senate Committee on Foreign Contract Payment. Our
duty is to ensure that all contractors are paid their
contract sum in due time. This last payment quarter, a total of 30 contractors
were short listed for payment and about 25 of them
have been paid remaining about 5 (Five), information
reaching this office indicates that one among the
remaining has been reported dead. His name is Mr.
Gerrand Schwartz from Sweden, he died in the last Air
France Concorde plane crash. Meanwhile he finished the
execution of his contract December 19th 1999. But
since his death, nobody has come forward to put a
claim to his contract fund which is about
US$15,500,000.00 Million (fifteen Million Five
Hundred Thousand U.S Dollars) that is why I need your
immediate assistance to expedite the transfer of the
contract amount. With my position as a Director in the Department of
Contract Regularisation and Disbursement, I will
regularize all the necessary documents and present
your company as the bona-fide beneficiary of this fund
in as much as you respond within 48 hours for
respect of this important message. Your unreserved
cooperation in this business is just what we require
for a successful and hitch free transaction.
Necessary measures to ensure a risk free and fool
proof transaction and confidentiality has been taken. Kindly signify your interest by replying via my
personal e mail address above. Upon receipt of your
positive reply we shall discuss on (1) Basic Program
for Operation (2) Financial Status as to ascertain
your capability. Upon completion of this transaction
I have decided to give you 30% of the total sum, 60%
of the fund which is our share will be used for
investment in your company or in any other company of
our choice. While10% has been mapped out to take care
of any minor expenses incurred. Take note that this
project will last for only 21 working days. I expect your response in time (within 48 hours) as
time is of great essence in this transaction. God Bless and Kind Regards, Dr. Bello Ahmed "
<health104580m43@mail.com>,Penile enlargement method - guaranteed !,
